filename,title,gbrq,sxrq,sxx,flxz,zdjgName,flfgCodeId,zdjgCodeId,bbbs,source
001_中华人民共和国国家通用语言文字法_2025-12-27_f77ee28f.pdf,中华人民共和国国家通用语言文字法,2025-12-27,2026-01-01,3,法律,全国人民代表大会常务委员会,110,110,f77ee28fe50241918f872785b51904f4,https://flk.npc.gov.cn/detail?id=f77ee28fe50241918f872785b51904f4
002_中华人民共和国民用航空法_2025-12-27_7ee5a369.pdf,中华人民共和国民用航空法,2025-12-27,2026-07-01,4,法律,全国人民代表大会常务委员会,140,110,7ee5a369049e412bbd1a96a2fef74abb,https://flk.npc.gov.cn/detail?id=7ee5a369049e412bbd1a96a2fef74abb
003_中华人民共和国对外贸易法_2025-12-27_f99c412d.pdf,中华人民共和国对外贸易法,2025-12-27,2026-03-01,3,法律,全国人民代表大会常务委员会,140,110,f99c412df98b4ea396d6709c78703111,https://flk.npc.gov.cn/detail?id=f99c412df98b4ea396d6709c78703111
004_中华人民共和国危险化学品安全法_2025-12-27_2933e1a0.pdf,中华人民共和国危险化学品安全法,2025-12-27,2026-05-01,3,法律,全国人民代表大会常务委员会,150,110,2933e1a00644487bbd43d0960cb01931,https://flk.npc.gov.cn/detail?id=2933e1a00644487bbd43d0960cb01931
005_中华人民共和国渔业法_2025-12-27_e29e88f1.pdf,中华人民共和国渔业法,2025-12-27,2026-05-01,3,法律,全国人民代表大会常务委员会,155,110,e29e88f12bc041d48b8b9086c4a4ece7,https://flk.npc.gov.cn/detail?id=e29e88f12bc041d48b8b9086c4a4ece7
006_中华人民共和国村民委员会组织法_2025-10-28_090f4cc5.pdf,中华人民共和国村民委员会组织法,2025-10-28,2026-01-01,3,法律,全国人民代表大会常务委员会,110,110,090f4cc550f84241941e1109c8772e76,https://flk.npc.gov.cn/detail?id=090f4cc550f84241941e1109c8772e76
007_中华人民共和国城市居民委员会组织法_2025-10-28_5d9b0a64.pdf,中华人民共和国城市居民委员会组织法,2025-10-28,2026-01-01,3,法律,全国人民代表大会常务委员会,110,110,5d9b0a64413e4a80b060a0bd742f5fb6,https://flk.npc.gov.cn/detail?id=5d9b0a64413e4a80b060a0bd742f5fb6
008_中华人民共和国海商法_2025-10-28_1349e6aa.pdf,中华人民共和国海商法,2025-10-28,2026-05-01,3,法律,全国人民代表大会常务委员会,120,110,1349e6aadd4947fe83ff811739825d3c,https://flk.npc.gov.cn/detail?id=1349e6aadd4947fe83ff811739825d3c
009_中华人民共和国网络安全法_2025-10-28_021e7d76.pdf,中华人民共和国网络安全法,2025-10-28,2026-01-01,3,法律,全国人民代表大会常务委员会,140,110,021e7d7684474107b8f3febbb1c4f8b5,https://flk.npc.gov.cn/detail?id=021e7d7684474107b8f3febbb1c4f8b5
010_中华人民共和国环境保护税法_2025-10-28_6bae366f.pdf,中华人民共和国环境保护税法,2025-10-28,2025-10-28,3,法律,全国人民代表大会常务委员会,140,110,6bae366fd9f94fbf9450c48a68bfc68a,https://flk.npc.gov.cn/detail?id=6bae366fd9f94fbf9450c48a68bfc68a
